,number,contractName,name,address,position,banking,bonus,status,lastUpdate,connected,overflow,shape,totalStands,mainStands,overflowStands
76,28,luxembourg,#00028-CHARLY'S GARE,CHARLY'S GARE - BOULEVARD PRINCE HENRI,"{'latitude': 49.61258, 'longitude': 6.12391}",False,False,OPEN,2022-04-11T21:11:39Z,True,False,NULL,"{'availabilities': {'bikes': 0, 'stands': 20, 'mechanicalBikes': 0, 'electricalBikes': 0, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}","{'availabilities': {'bikes': 0, 'stands': 20, 'mechanicalBikes': 0, 'electricalBikes': 0, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}",NULL
77,2,luxembourg,#00002-GARE CENTRALE 2,GARE CENTRALE 2 - PLACE DE LA GARE N°3-5,"{'latitude': 49.601051, 'longitude': 6.133744}",True,False,OPEN,2022-04-11T21:13:58Z,True,False,NULL,"{'availabilities': {'bikes': 11, 'stands': 7, 'mechanicalBikes': 0, 'electricalBikes': 13, 'electricalInternalBatteryBikes': 13, 'electricalRemovableBatteryBikes': 0}, 'capacity': 21}","{'availabilities': {'bikes': 11, 'stands': 7, 'mechanicalBikes': 0, 'electricalBikes': 13, 'electricalInternalBatteryBikes': 13, 'electricalRemovableBatteryBikes': 0}, 'capacity': 21}",NULL
78,99,luxembourg,#00099-CAMPUS CENTS,CAMPUS CENTS - RUE LÉON KAUFFMAN/RUE ROBERT BRUCH,"{'latitude': 49.617566, 'longitude': 6.165165}",False,False,OPEN,2022-04-11T21:12:02Z,True,False,NULL,"{'availabilities': {'bikes': 2, 'stands': 13, 'mechanicalBikes': 0, 'electricalBikes': 3, 'electricalInternalBatteryBikes': 3, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}","{'availabilities': {'bikes': 2, 'stands': 13, 'mechanicalBikes': 0, 'electricalBikes': 3, 'electricalInternalBatteryBikes': 3, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}",NULL
79,83,luxembourg,#00083-PULVERMÜHL,Rue de Pulvermûhl/Rue du Fort Dumoulin,"{'latitude': 49.608758, 'longitude': 6.149591}",False,False,OPEN,2022-04-11T21:15:01Z,True,False,NULL,"{'availabilities': {'bikes': 15, 'stands': 5, 'mechanicalBikes': 0, 'electricalBikes': 15, 'electricalInternalBatteryBikes': 15, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}","{'availabilities': {'bikes': 15, 'stands': 5, 'mechanicalBikes': 0, 'electricalBikes': 15, 'electricalInternalBatteryBikes': 15, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}",NULL
80,51,luxembourg,#00051-SAUERWISS,SAUERWISS - RUE ABBE FRANCOIS LASCOMBE ( DEVANT N° 54 ),"{'latitude': 49.594088, 'longitude': 6.125123}",False,False,OPEN,2022-04-11T21:15:07Z,True,False,NULL,"{'availabilities': {'bikes': 12, 'stands': 8, 'mechanicalBikes': 0, 'electricalBikes': 12, 'electricalInternalBatteryBikes': 12, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}","{'availabilities': {'bikes': 12, 'stands': 8, 'mechanicalBikes': 0, 'electricalBikes': 12, 'electricalInternalBatteryBikes': 12, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}",NULL
81,90,luxembourg,#00090-HUBERTY (MÜHLENBACH),Rue de Mühlenbach/Rue Jean-Pierre Huberty,"{'latitude': 49.6294701613971, 'longitude': 6.11780413988129}",True,False,OPEN,2022-04-11T21:13:22Z,True,False,NULL,"{'availabilities': {'bikes': 9, 'stands': 8, 'mechanicalBikes': 0, 'electricalBikes': 10, 'electricalInternalBatteryBikes': 10, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}","{'availabilities': {'bikes': 9, 'stands': 8, 'mechanicalBikes': 0, 'electricalBikes': 10, 'electricalInternalBatteryBikes': 10, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}",NULL
82,20,luxembourg,#00020-COQUE,COQUE - AVENUE JF KENNEDY / RUE ERASME,"{'latitude': 49.62297, 'longitude': 6.15497}",False,False,OPEN,2022-04-11T21:12:12Z,True,False,NULL,"{'availabilities': {'bikes': 4, 'stands': 15, 'mechanicalBikes': 0, 'electricalBikes': 5, 'electricalInternalBatteryBikes': 5, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}","{'availabilities': {'bikes': 4, 'stands': 15, 'mechanicalBikes': 0, 'electricalBikes': 5, 'electricalInternalBatteryBikes': 5, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}",NULL
83,98,luxembourg,#00098-CITY CONCORDE,CITY CONCORDE - Route de Longwy face n° 80 (City Concorde),"{'latitude': 49.600592, 'longitude': 6.065794}",False,False,OPEN,2022-04-11T21:12:15Z,True,False,NULL,"{'availabilities': {'bikes': 4, 'stands': 16, 'mechanicalBikes': 0, 'electricalBikes': 4, 'electricalInternalBatteryBikes': 4, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}","{'availabilities': {'bikes': 4, 'stands': 16, 'mechanicalBikes': 0, 'electricalBikes': 4, 'electricalInternalBatteryBikes': 4, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}",NULL
84,58,luxembourg,#00058-SCHLUECHTHAUS,SCHLUECHTHAUS - RUE DE L'ABATTOIR,"{'latitude': 49.60136, 'longitude': 6.11581}",False,False,OPEN,2022-04-11T21:14:27Z,True,False,NULL,"{'availabilities': {'bikes': 11, 'stands': 5, 'mechanicalBikes': 0, 'electricalBikes': 14, 'electricalInternalBatteryBikes': 14, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}","{'availabilities': {'bikes': 11, 'stands': 5, 'mechanicalBikes': 0, 'electricalBikes': 14, 'electricalInternalBatteryBikes': 14, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}",NULL
85,71,luxembourg,#00071-LES THERMES,LES THERMES - RUE DU CIMETIERE,"{'latitude': 49.61489, 'longitude': 6.07275}",False,False,OPEN,2022-04-11T21:13:15Z,True,False,NULL,"{'availabilities': {'bikes': 10, 'stands': 9, 'mechanicalBikes': 0, 'electricalBikes': 10, 'electricalInternalBatteryBikes': 10, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}","{'availabilities': {'bikes': 10, 'stands': 9, 'mechanicalBikes': 0, 'electricalBikes': 10, 'electricalInternalBatteryBikes': 10, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}",NULL
