,number,contractName,name,address,position,banking,bonus,status,lastUpdate,connected,overflow,shape,totalStands,mainStands,overflowStands
10,17,luxembourg,#00017-ROBERT SCHUMAN,ROBERT SCHUMAN - SQUARE SCHUMAN,"{'latitude': 49.616669, 'longitude': 6.126069}",True,False,OPEN,2022-04-19T08:45:23Z,True,False,,"{'availabilities': {'bikes': 11, 'stands': 13, 'mechanicalBikes': 0, 'electricalBikes': 12, 'electricalInternalBatteryBikes': 12, 'electricalRemovableBatteryBikes': 0}, 'capacity': 25}","{'availabilities': {'bikes': 11, 'stands': 13, 'mechanicalBikes': 0, 'electricalBikes': 12, 'electricalInternalBatteryBikes': 12, 'electricalRemovableBatteryBikes': 0}, 'capacity': 25}",
11,94,luxembourg,#00094-HAMM-COLONIE,Rue de Hamm/Rue des pruniers,"{'latitude': 49.606983, 'longitude': 6.154863}",False,False,CLOSED,2022-04-19T08:42:32Z,True,False,,"{'availabilities': {'bikes': 1, 'stands': 0, 'mechanicalBikes': 0, 'electricalBikes': 1, 'electricalInternalBatteryBikes': 1, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}","{'availabilities': {'bikes': 1, 'stands': 0, 'mechanicalBikes': 0, 'electricalBikes': 1, 'electricalInternalBatteryBikes': 1, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}",
12,11,luxembourg,#00011-WINSTON CHURCHILL,WINSTON CHURCHILL - PLACE CHURCHILL,"{'latitude': 49.611317, 'longitude': 6.120003}",False,False,OPEN,2022-04-19T08:47:07Z,True,False,,"{'availabilities': {'bikes': 7, 'stands': 7, 'mechanicalBikes': 0, 'electricalBikes': 8, 'electricalInternalBatteryBikes': 8, 'electricalRemovableBatteryBikes': 0}, 'capacity': 15}","{'availabilities': {'bikes': 7, 'stands': 7, 'mechanicalBikes': 0, 'electricalBikes': 8, 'electricalInternalBatteryBikes': 8, 'electricalRemovableBatteryBikes': 0}, 'capacity': 15}",
13,23,luxembourg,#00023-REIMERWEE,REIMERWEE - BOULEVARD K ADENAUER / RUE K KALERGI,"{'latitude': 49.629448, 'longitude': 6.157348}",False,False,OPEN,2022-04-19T08:45:14Z,True,False,,"{'availabilities': {'bikes': 0, 'stands': 18, 'mechanicalBikes': 0, 'electricalBikes': 0, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 0}, 'capacity': 18}","{'availabilities': {'bikes': 0, 'stands': 18, 'mechanicalBikes': 0, 'electricalBikes': 0, 'electricalInternalBatteryBikes': 0, 'electricalRemovableBatteryBikes': 0}, 'capacity': 18}",
14,108,luxembourg,#00108-EDELECK,EDELECK - RUE DE LUXEMBOURG / EDELECK,"{'latitude': 49.565477, 'longitude': 6.079436}",False,False,OPEN,2022-04-19T08:44:17Z,True,False,,"{'availabilities': {'bikes': 10, 'stands': 10, 'mechanicalBikes': 0, 'electricalBikes': 10, 'electricalInternalBatteryBikes': 10, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}","{'availabilities': {'bikes': 10, 'stands': 10, 'mechanicalBikes': 0, 'electricalBikes': 10, 'electricalInternalBatteryBikes': 10, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}",
15,75,luxembourg,#00075-BEINCHEN,BEINCHEN - RUE DU PONT,"{'latitude': 49.61561, 'longitude': 6.13097}",False,False,OPEN,2022-04-19T08:47:13Z,True,False,,"{'availabilities': {'bikes': 10, 'stands': 5, 'mechanicalBikes': 0, 'electricalBikes': 10, 'electricalInternalBatteryBikes': 10, 'electricalRemovableBatteryBikes': 0}, 'capacity': 15}","{'availabilities': {'bikes': 10, 'stands': 5, 'mechanicalBikes': 0, 'electricalBikes': 10, 'electricalInternalBatteryBikes': 10, 'electricalRemovableBatteryBikes': 0}, 'capacity': 15}",
16,45,luxembourg,#00045-AUBEPINES,AUBEPINES - VAL SAINTE CROIX / RUE DES AUBEPINES,"{'latitude': 49.61212, 'longitude': 6.09749}",False,False,OPEN,2022-04-19T08:45:32Z,True,False,,"{'availabilities': {'bikes': 1, 'stands': 19, 'mechanicalBikes': 0, 'electricalBikes': 1, 'electricalInternalBatteryBikes': 1, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}","{'availabilities': {'bikes': 1, 'stands': 19, 'mechanicalBikes': 0, 'electricalBikes': 1, 'electricalInternalBatteryBikes': 1, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}",
17,68,luxembourg,#00068-UM SCHLASS,UM SCHLASS - CEINTURE UM SCHLASS,"{'latitude': 49.57337, 'longitude': 6.14397}",False,False,OPEN,2022-04-19T08:46:06Z,True,False,,"{'availabilities': {'bikes': 5, 'stands': 10, 'mechanicalBikes': 0, 'electricalBikes': 5, 'electricalInternalBatteryBikes': 5, 'electricalRemovableBatteryBikes': 0}, 'capacity': 15}","{'availabilities': {'bikes': 5, 'stands': 10, 'mechanicalBikes': 0, 'electricalBikes': 5, 'electricalInternalBatteryBikes': 5, 'electricalRemovableBatteryBikes': 0}, 'capacity': 15}",
18,27,luxembourg,#00027-MERCIER,MERCIER - PLACE DE LA GARE / RUE DU COMMERCE / PARKING,"{'latitude': 49.5986, 'longitude': 6.132119}",False,False,OPEN,2022-04-19T08:46:54Z,True,False,,"{'availabilities': {'bikes': 6, 'stands': 9, 'mechanicalBikes': 0, 'electricalBikes': 6, 'electricalInternalBatteryBikes': 6, 'electricalRemovableBatteryBikes': 0}, 'capacity': 15}","{'availabilities': {'bikes': 6, 'stands': 9, 'mechanicalBikes': 0, 'electricalBikes': 6, 'electricalInternalBatteryBikes': 6, 'electricalRemovableBatteryBikes': 0}, 'capacity': 15}",
19,62,luxembourg,#00062-LEYDENBACH,LEYDENBACH - RUE LEYDENBACH / RUE DES LABOURS,"{'latitude': 49.62915, 'longitude': 6.173101}",False,False,OPEN,2022-04-19T08:42:33Z,True,False,,"{'availabilities': {'bikes': 2, 'stands': 17, 'mechanicalBikes': 0, 'electricalBikes': 3, 'electricalInternalBatteryBikes': 3, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}","{'availabilities': {'bikes': 2, 'stands': 17, 'mechanicalBikes': 0, 'electricalBikes': 3, 'electricalInternalBatteryBikes': 3, 'electricalRemovableBatteryBikes': 0}, 'capacity': 20}",
